Algorithmus;k;iter;stdev;reg;lr;Data_rep;test;m(AE);M(AE);m(RE);M(RE);gini
mcmc;10;1200;0;0;0;indicators;FALSE;2.737602166;2.15459;1.300398538;0.669115625;0.343068958
mcmc;10;1400;0;0;0;indicators;FALSE;2.737916025;2.15465;1.300955626;0.667998462;0.3429658
mcmc;10;1600;0;0;0;indicators;FALSE;2.737280125;2.15581;1.300273402;0.668785;0.342950445
mcmc;10;1800;0;0;0;indicators;FALSE;2.737069479;2.15188;1.300442811;0.66934;0.343311952
mcmc;10;2000;0;0;0;indicators;FALSE;2.737303125;2.15437;1.300611779;0.66841;0.343469567
mcmc;12;200;0;0;0;indicators;FALSE;2.737116914;2.15668;1.299486916;0.668655714;0.341523258
mcmc;12;400;0;0;0;indicators;FALSE;2.738074611;2.15368;1.300770623;0.66961;0.341955041
mcmc;12;600;0;0;0;indicators;FALSE;2.738315764;2.1532;1.30070012;0.668437692;0.342118512
mcmc;12;800;0;0;0;indicators;FALSE;2.73656927;2.1517;1.299369166;0.66898375;0.34354433
mcmc;12;1000;0;0;0;indicators;FALSE;2.736431551;2.15296;1.299531498;0.667718571;0.343334195
mcmc;12;1200;0;0;0;indicators;FALSE;2.737920454;2.15384;1.300373402;0.66854;0.342784103
mcmc;12;1400;0;0;0;indicators;FALSE;2.738063949;2.15197;1.300562038;0.668715556;0.342450583
mcmc;12;1600;0;0;0;indicators;FALSE;2.737537309;2.15448;1.300083388;0.668366667;0.342820682
mcmc;12;1800;0;0;0;indicators;FALSE;2.737702718;2.15237;1.300325443;0.66823;0.343075576
mcmc;12;2000;0;0;0;indicators;FALSE;2.737749381;2.1555;1.299921091;0.6683;0.342820741
mcmc;14;200;0;0;0;indicators;FALSE;2.736737246;2.14937;1.298154712;0.66906;0.34166968
mcmc;14;400;0;0;0;indicators;FALSE;2.737365012;2.15275;1.299048543;0.66761;0.342250039
mcmc;14;600;0;0;0;indicators;FALSE;2.737731825;2.15086;1.299862654;0.66843;0.342763712
mcmc;14;800;0;0;0;indicators;FALSE;2.737914504;2.15132;1.299387235;0.667942222;0.342777003
mcmc;14;1000;0;0;0;indicators;FALSE;2.737626085;2.15371;1.299515755;0.66797;0.343392601
mcmc;14;1200;0;0;0;indicators;FALSE;2.737547506;2.15316;1.299401593;0.667354444;0.342963716
mcmc;14;1400;0;0;0;indicators;FALSE;2.737904132;2.15413;1.299577739;0.667093;0.342318343
mcmc;14;1600;0;0;0;indicators;FALSE;2.737945387;2.15362;1.299739179;0.667314;0.342525019
mcmc;14;1800;0;0;0;indicators;FALSE;2.738244296;2.15675;1.300251602;0.668180625;0.342516309
mcmc;14;2000;0;0;0;indicators;FALSE;2.737763653;2.15557;1.299719721;0.6681;0.342497899
mcmc;16;200;0;0;0;indicators;FALSE;2.738121001;2.15254;1.299716939;0.668375;0.341200147
mcmc;16;400;0;0;0;indicators;FALSE;2.738071016;2.15037;1.299489451;0.66787;0.341554773
mcmc;16;600;0;0;0;indicators;FALSE;2.738025351;2.14992;1.29911428;0.666811;0.341988338
mcmc;16;800;0;0;0;indicators;FALSE;2.738398994;2.15029;1.299305705;0.667855455;0.342092456
mcmc;16;1000;0;0;0;indicators;FALSE;2.737503822;2.1545;1.298668213;0.6678675;0.342094749
mcmc;16;1200;0;0;0;indicators;FALSE;2.738424964;2.15292;1.299601223;0.666404545;0.342039053
mcmc;16;1400;0;0;0;indicators;FALSE;2.737593855;2.15172;1.299129519;0.666436;0.34279452
mcmc;16;1600;0;0;0;indicators;FALSE;2.739087716;2.15132;1.299632102;0.6665025;0.341543394
mcmc;16;1800;0;0;0;indicators;FALSE;2.738343858;2.15365;1.29963914;0.666885;0.342244411
mcmc;16;2000;0;0;0;indicators;FALSE;2.73858351;2.1539;1.299594426;0.667133333;0.342139801
mcmc;2;200;0;0;0;indicators;FALSE;2.743848925;2.20242;1.310906371;0.674113571;0.33336685
mcmc;2;400;0;0;0;indicators;FALSE;2.746185718;2.20123;1.311469725;0.674226364;0.330423206
mcmc;2;600;0;0;0;indicators;FALSE;2.744517292;2.209;1.310623476;0.67321;0.331938438
mcmc;2;800;0;0;0;indicators;FALSE;2.746915116;2.19087;1.311288316;0.674400769;0.330053659
mcmc;2;1000;0;0;0;indicators;FALSE;2.747774002;2.20178;1.31266074;0.67468;0.330077774
mcmc;2;1200;0;0;0;indicators;FALSE;2.747915246;2.1925;1.312105722;0.672641818;0.329511044
mcmc;2;1400;0;0;0;indicators;FALSE;2.747423355;2.21193;1.312735626;0.673668571;0.329867207
mcmc;2;1600;0;0;0;indicators;FALSE;2.749266138;2.1942;1.313006624;0.673799;0.328837383
mcmc;2;1800;0;0;0;indicators;FALSE;2.746595125;2.21346;1.311911984;0.673185;0.330375219
mcmc;2;2000;0;0;0;indicators;FALSE;2.747858659;2.20143;1.312674978;0.673212857;0.330305767
mcmc;18;200;0;0;0;indicators;FALSE;2.735477131;2.15426;1.298303115;0.666163636;0.343727331
mcmc;18;400;0;0;0;indicators;FALSE;2.737530199;2.15162;1.298430823;0.666596;0.341805241
mcmc;18;600;0;0;0;indicators;FALSE;2.737881664;2.15329;1.29896205;0.66606;0.341979691
mcmc;18;800;0;0;0;indicators;FALSE;2.738670842;2.1475;1.299005679;0.666479;0.341334319
mcmc;18;1000;0;0;0;indicators;FALSE;2.739214536;2.1483;1.299100512;0.665861429;0.341499678
mcmc;18;1200;0;0;0;indicators;FALSE;2.739053196;2.15468;1.299258112;0.666561111;0.341284071
mcmc;18;1400;0;0;0;indicators;FALSE;2.739392285;2.1503;1.299790478;0.66731;0.341291416
mcmc;18;1600;0;0;0;indicators;FALSE;2.739836689;2.15078;1.29997764;0.66616;0.340647915
mcmc;18;1800;0;0;0;indicators;FALSE;2.738974818;2.15091;1.299570621;0.666207778;0.341749118
mcmc;18;2000;0;0;0;indicators;FALSE;2.740274104;2.153;1.300319687;0.667173571;0.340881758
mcmc;4;200;0.05;0;0;indicators;FALSE;2.752843422;2.20267;1.314005539;0.67096;0.326203469
mcmc;4;400;0.05;0;0;indicators;FALSE;2.746835379;2.19128;1.311038639;0.671474545;0.332254538
